"product_id","product_name","price","category_id","product_data"
1,K/B BLUETOOTH MULTI-DEVICE LOGITECH (K580) GARPHITE,1570.0,6,"{
  ""Name"": ""K/B BLUETOOTH MULTI-DEVICE LOGITECH (K580) GRAPHITE"",
  ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0139677"",
  ""Price"": 1570,
  ""Brand"": ""LOGITECH"",
  ""Model"": ""K580"",
  ""Interface"": ""Bluetooth / USB Wireless"",
  ""Keys Windows Layout"": ""101 Keys"",
  ""Keyboard Backlighting"": ""None"",
  ""Battery Type"": ""2 x AAA"",
  ""Support"": {
    ""Windows"": ""10,11 หรือใหม่กว่า"",
    ""macOS"": ""10.15 หรือใหม่กว่า"",
    ""Chrome OS"": ""รองรับฟังก์ชันพื้นฐานของอุปกรณ์โดยไม่ต้องใช้ซอฟต์แวร์สำหรับระบบอื่นที่ไม่ใช่ Windows® และ macOS"",
    ""Linux"": ""รองรับฟังก์ชันพื้นฐานของอุปกรณ์โดยไม่ต้องใช้ซอฟต์แวร์สำหรับระบบอื่นที่ไม่ใช่ Windows® และ macOS"",
    ""iPadOS"": ""14 หรือใหม่กว่า รองรับฟังก์ชันพื้นฐานของอุปกรณ์โดยไม่ต้องใช้ซอฟต์แวร์สำหรับระบบอื่นที่ไม่ใช่ Windows® และ macOS"",
    ""iOS"": ""14 หรือใหม่กว่า รองรับฟังก์ชันพื้นฐานของอุปกรณ์โดยไม่ต้องใช้ซอฟต์แวร์สำหรับระบบอื่นที่ไม่ใช่ Windows® และ macOS"",
    ""Android"": ""8.0 หรือใหม่กว่า รองรับฟังก์ชันพื้นฐานของอุปกรณ์โดยไม่ต้องใช้ซอฟต์แวร์สำหรับระบบอื่นที่ไม่ใช่ Windows® และ macOS"",
    ""Surface"": ""ใช้งานได้กับ Surface""
  }
}
"
2,K/B USB LECOO (KB103) Black By LENOVO,250.0,6,"{
    ""Name"": ""K/B USB LECOO (KB103) Black By LENOVO"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0137831"",
    ""Price"": 250,
    ""Brand"": ""LECOO"",
    ""Model"": ""KB103"",
    ""Interface"": ""USB 2.0"",
    ""Keys_Windows_Layout"": ""103 Keys"",
    ""Keyboard_Backlighting"": ""None"",
    ""Cable_Length"": ""1.5m""
}
"
3,K/B USB ANITECH P202,180.0,6,"{
    ""Name"": ""K/B USB ANITECH P202"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0150857"",
    ""Price"": 180,
    ""Brand"": ""ANITECH"",
    ""Model"": ""P202"",
    ""Interface"": ""USB 2.0"",
    ""Keys_Windows_Layout"": ""104 Key"",
    ""Keyboard_Backlighting"": ""None"",
    ""Cable_Length"": ""1.3 M"",
    ""Material"": ""Plastic ABS"",
    ""Battery_Type"": ""None"",
    ""Support"": [
        ""Windows 98 / 2000 / NT / ME / XP / Vista / 7 / 8 / 10"",
        ""MAC OS X""
    ]
}
"
4,K/B USB MINI NUBWO (NK-35) BLACK,169.0,6,"{
    ""Name"": ""K/B USB MINI NUBWO (NK-35) BLACK"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0135629"",
    ""Price"": 169,
    ""Brand"": ""NUBWO"",
    ""Model"": ""NK-35 (MERCURY)"",
    ""Interface"": ""USB 2.0"",
    ""Keys_Windows_Layout"": ""78 Keys""
}
"
5,K/B USB OKER (KB-318) Black,145.0,6,"{
    ""Name"": ""K/B USB OKER (KB-318) Black"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0116841"",
    ""Price"": 145,
    ""Brand"": ""OKER"",
    ""Model"": ""KB-318"",
    ""Interface"": ""USB 2.0"",
    ""Keys_Windows_Layout"": ""104 Keys"",
    ""Support"": [
        ""Windows XP / Windows 2000 / Windows Vista / Windows 7/8/10"",
        ""Mac OS 10.3 และรุ่นที่สูงกว่า""
    ],
    ""Dimension"": ""60 x 24.5 x 4.5CM"",
    ""Weight"": ""0.27KG""
}
"
6,N/B Asus X1605VA-MB522WS (16) Indie Black,22990.0,1,"{
    ""Name"": ""N/B Asus X1605VA-MB522WS (16) Indie Black"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0151789"",
    ""Price"": 22990,
    ""Brand"": ""ASUS"",
    ""Model"": ""Vivobook 16 (X1605VA-MB522WS)"",
    ""Processor"": ""Intel Core i5-13500H (2.6GHz up to 4.7GHz, 18MB Intel Smart Cache)"",
    ""Chipset"": ""Intel SoC Platform"",
    ""Graphics"": ""Intel Iris Xe Graphics (Integrated Graphics)"",
    ""Display_Screen"": ""16.0\"" 1920x1200 (WUXGA), IPS, 60Hz, 300nits, Anti-glare, 45% NTSC"",
    ""Main_Memory"": ""16GB DDR4 (8GB Onboard + 8GB SODIMM)"",
    ""Memory_Slot"": ""1x Slot"",
    ""Max_Memory"": ""16GB (Max)"",
    ""Storage"": ""512GB PCIe NVMe M.2 SSD"",
    ""Storage_Slot"": ""1x Slot"",
    ""Optical_Disk_Drive"": ""None"",
    ""Web_Camera"": ""720p HD camera with privacy shutter"",
    ""Sound_Technology"": ""SonicMaster"",
    ""Audio_Jack"": ""1x 3.5mm Combo Audio Jack"",
    ""Speaker"": [
        ""Built-in speaker"",
        ""Built-in microphone""
    ],
    ""Network"": ""None"",
    ""Wireless"": ""Wireless 802.11ax (Wi-Fi 6E)"",
    ""Bluetooth"": ""Bluetooth 5"",
    ""Ports"": [
        ""1x USB 2.0 Type-A"",
        ""1x USB 3.2 Gen 1 Type-C support power delivery"",
        ""2x USB 3.2 Gen 1 Type-A"",
        ""1x HDMI 1.4""
    ],
    ""CardReader"": ""None"",
    ""Power_Adapter"": ""ø4.5, 65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal"",
    ""Battery"": ""42WHrs, 3S1P, 3-cell Li-ion"",
    ""OS"": ""Windows 11 Home + Microsoft Office Home & Student 2021"",
    ""Material"": [
        ""LCD cover-material : Plastic"",
        ""Top case-material : Plastic"",
        ""Bottom case-material : Plastic""
    ],
    ""Keyboard_Type"": ""ENG/TH Chiclet Keyboard with Num-key"",
    ""Backlit"": ""N/A"",
    ""Touchpad"": ""Yes"",
    ""Finger_Print"": ""Yes""
}
"
7,N/B Lenovo IdeaPad Slim 5 16IAH8 83BG000CTA (16) Cloud Grey,20490.0,1,"{
    ""Name"": ""N/B Lenovo IdeaPad Slim 5 16IAH8 83BG000CTA (16) Cloud Grey"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0151755"",
    ""Price"": 20490,
    ""Brand"": ""LENOVO"",
    ""Model"": ""IdeaPad Slim 5 16IAH8 (83BG000CTA)"",
    ""Processor"": ""Intel Core i5-12450H (2.0GHz up to 4.4GHz, 12MB Intel Smart Cache)"",
    ""Chipset"": ""Intel SoC Platform"",
    ""Graphics"": ""Intel UHD Graphics (Integrated Graphics)"",
    ""Display_Screen"": ""16.0\"" 1920x1200 (WUXGA), IPS, 60Hz, 300nits, Anti-glare, 45% NTSC, TÜV Low Blue Light"",
    ""Main_Memory"": ""16GB LPDDR5 4800MHz Onboard memory"",
    ""Memory_Slot"": ""None"",
    ""Max_Memory"": ""16GB (Max)"",
    ""Storage"": ""512GB SSD M.2 2242 PCIe 4.0x4 NVMe"",
    ""Storage_Slot"": ""1x M.2 2280 PCIe 4.0 x4 slot"",
    ""Optical_Disk_Drive"": ""None"",
    ""Web_Camera"": [
        ""FHD 1080p with Privacy Shutter"",
        ""2x, Array Microphone""
    ],
    ""Sound_Technology"": ""High Definition (HD) Audio"",
    ""Audio_Jack"": ""1x Headphone / microphone combo jack (3.5mm)"",
    ""Speaker"": ""Stereo speakers, 2W x2, optimized with Dolby Audio"",
    ""Network"": ""None"",
    ""Wireless"": ""Wireless 802.11ax"",
    ""Bluetooth"": ""Bluetooth 5.1"",
    ""Ports"": [
        ""1x USB 3.2 Gen 1"",
        ""1x USB 3.2 Gen 1 (Always On)"",
        ""2x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)"",
        ""1x HDMI 1.4b""
    ],
    ""CardReader"": ""microSD Card Reader"",
    ""Power_Adapter"": ""65W USB-C (3-pin)"",
    ""Battery"": ""3-Cell, 56.6Wh"",
    ""OS"": ""Windows 11 Home + Microsoft Office Home & Student 2021"",
    ""Material"": [
        ""Aluminium (Top)"",
        ""PC-ABS (Bottom)""
    ],
    ""Keyboard_Type"": ""ENG/TH, 6-row, multimedia Fn keys, numeric keypad"",
    ""Backlit"": ""LED backlight"",
    ""Touchpad"": ""Buttonless Mylar surface multi-touch touchpad, supports Precision TouchPad (PTP)"",
    ""Finger_Print"": ""None""
}
"
8,N/B Dell Latitude 3530-SNS3530001 (15.6),32490.0,1,"{
    ""Name"": ""N/B Dell Latitude 3530-SNS3530001 (15.6)"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0146413"",
    ""Price"": 32490,
    ""Brand"": ""DELL"",
    ""Model"": ""Latitude 3530-SNS3530001"",
    ""Processor"": ""Intel Core i5-1235U (E-core up to 3.3GHz, P-core up to 4.4GHz, 12MB Intel Smart Cache)"",
    ""Chipset"": ""Intel SoC Platform"",
    ""CPU_Brand"": ""Intel"",
    ""CPU_Series"": ""i5"",
    ""CPU_Model_Number"": ""1235U"",
    ""CPU_Generation"": ""12th"",
    ""Graphics"": ""Intel Iris Xe Graphics (Integrated Graphics)"",
    ""GPU_Brand"": ""Intel"",
    ""GPU_Line"": ""None"",
    ""GPU_Series"": ""None"",
    ""GPU_Model"": ""None"",
    ""Display_Screen"": ""15.6\"" 1920x1080 (FHD), WVA, 60Hz, 250nits, Anti-glare"",
    ""Main_Memory"": ""8GB (8GB x1) DDR4"",
    ""Memory_Slot"": ""2x Slots"",
    ""Max_Memory"": ""32GB"",
    ""Storage"": ""256GB PCIe NVMe M.2 SSD"",
    ""Storage_Slot"": [
        ""1x M.2 PCIe SSD"",
        ""1x 2.5\"" SATA HDD""
    ],
    ""Optical_Disk_Drive"": ""None"",
    ""Web_Camera"": ""Camera w/shutter & Microphone"",
    ""Sound_Technology"": ""HD Audio"",
    ""Audio_Jack"": ""1x Universal audio port"",
    ""Speaker"": ""Yes"",
    ""Network"": ""10/100/1000 LAN"",
    ""Wireless"": ""Wireless 802.11ax"",
    ""Bluetooth"": ""Bluetooth 5.2"",
    ""Ports"": [
        ""1x USB 3.2 Gen 2x2 Type-C port with DisplayPort alt mode/Power Delivery"",
        ""1x USB 3.2 Gen 1 port"",
        ""1x USB 3.2 Gen 1 port with PowerShare"",
        ""1x USB 2.0 port"",
        ""1x HDMI 1.4a port""
    ],
    ""CardReader"": ""1x microSD 3.0 card slot"",
    ""Power_Adapter"": ""65W Type-C Epeat Adapter"",
    ""Battery"": ""3 Cell, 41Whr ExpressCharge Capable Battery"",
    ""OS"": ""Windows 10 Pro (Includes Windows 11 Pro License) English"",
    ""Material"": ""N/A"",
    ""Keyboard_Type"": ""Single Pointing Backlit Keyboard (Thai), 10 Key Numpad"",
    ""Backlit"": ""Yes"",
    ""Touchpad"": ""Yes"",
    ""Finger_Print"": ""N/A""
}
"
9,N/B HP 15s-eq3064AU (15.6) (78J25PA#AKL),18490.0,1,"{
    ""Name"": ""N/B HP 15s-eq3064AU (15.6) (78J25PA#AKL)"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0146752"",
    ""Price"": 18490,
    ""Brand"": ""HP"",
    ""Model"": ""15s-eq3064AU (78J25PA#AKL)"",
    ""Processor"": ""AMD Ryzen 7 5825U (2.0GHz up to 4.5GHz, 4MB L2 / 16MB L3 Cache)"",
    ""Chipset"": ""AMD SoC Platform"",
    ""CPU_Brand"": ""AMD"",
    ""CPU_Series"": ""Ryzen 7"",
    ""CPU_Model_Number"": ""5825U"",
    ""CPU_Generation"": ""5000 Series"",
    ""Graphics"": ""AMD Radeon Graphics (Integrated Graphics)"",
    ""GPU_Brand"": ""AMD"",
    ""GPU_Line"": ""None"",
    ""GPU_Series"": ""None"",
    ""GPU_Model"": ""None"",
    ""Display_Screen"": ""15.6\"" 1920x1080 (FHD), IPS, 60Hz, micro-edge, anti-glare, 250 nits, 45% NTSC"",
    ""Main_Memory"": ""8GB (8GB x1) DDR4 3200MHz"",
    ""Memory_Slot"": ""N/A"",
    ""Max_Memory"": ""N/A"",
    ""Storage"": ""512GB PCIe NVMe M.2 SSD"",
    ""Storage_Slot"": ""N/A"",
    ""Optical_Disk_Drive"": ""None"",
    ""Web_Camera"": ""HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones"",
    ""Sound_Technology"": ""HD Audio"",
    ""Audio_Jack"": ""1x headphone/microphone combo"",
    ""Speaker"": ""Dual speakers"",
    ""Network"": ""None"",
    ""Wireless"": ""Wireless 802.11ax"",
    ""Bluetooth"": ""Bluetooth 5.2"",
    ""Ports"": [
        ""1x SuperSpeed USB Type-C® 5Gbps signaling rate"",
        ""2x SuperSpeed USB Type-A 5Gbps signaling rate"",
        ""1x HDMI 1.4b""
    ],
    ""CardReader"": ""1x multi-format SD media card reader"",
    ""Power_Adapter"": ""45 W Smart AC power adapter"",
    ""Battery"": ""3-cell, 41 Wh Li-ion"",
    ""OS"": ""Windows 11 Home"",
    ""Material"": ""N/A"",
    ""Keyboard_Type"": ""ENG/TH keyboard with numeric keypad"",
    ""Backlit"": ""N/A"",
    ""Touchpad"": ""HP Imagepad with multi-touch gesture support; Precision Touchpad Support"",
    ""Finger_Print"": ""N/A""
}
"
10,N/B Acer AV15-51R-52JY/T001 (15.6) Volcano Gray,20900.0,1,"{
    ""Name"": ""N/B Acer AV15-51R-52JY/T001 (15.6) Volcano Gray"",
    ""Ref"": ""https://www.advice.co.th/branch-a026/index.php/product/productdetail/A0142554"",
    ""Price"": 20900,
    ""Brand"": ""ACER"",
    ""Model"": ""Aspire Vero AV15-51R-52JY/T001"",
    ""Processor"": ""Intel Core i5-1155G7 (2.5GHz up to 4.5GHz, 8MB Intel Smart Cache)"",
    ""Chipset"": ""Intel SoC Platform"",
    ""CPU_Brand"": ""Intel"",
    ""CPU_Series"": ""i5"",
    ""CPU_Model_Number"": ""1155G7"",
    ""CPU_Generation"": ""11th"",
    ""Graphics"": ""Intel Iris Xe Graphics (Integrated Graphics)"",
    ""GPU_Brand"": ""Intel"",
    ""GPU_Line"": ""None"",
    ""GPU_Series"": ""None"",
    ""GPU_Model"": ""None"",
    ""Display_Screen"": ""15.6\"" 1920x1080 (FHD), IPS, 60Hz, Acer ComfyView™"",
    ""Main_Memory"": ""8GB DDR4 (4GB Onboard + 4GB SODIMM)"",
    ""Memory_Slot"": ""1x Slot"",
    ""Max_Memory"": ""12GB"",
    ""Storage"": ""512GB PCIe NVMe M.2 SSD"",
    ""Storage_Slot"": ""1x M.2 SSD"",
    ""Optical_Disk_Drive"": ""None"",
    ""Web_Camera"": ""Acer HD Webcam"",
    ""Sound_Technology"": ""HD Audio"",
    ""Audio_Jack"": ""3.5 mm headphone/speaker jack, supporting headsets with built-in microphone"",
    ""Speaker"": ""Yes"",
    ""Network"": ""10/100/1000 LAN"",
    ""Wireless"": ""Wireless 802.11ax"",
    ""Bluetooth"": ""Bluetooth 5.1"",
    ""Ports"": [
        ""1x HDMI® 2.0 port with HDCP support"",
        ""1x USB Type-C™ port: USB 3.2 Gen 1 (up to 5 Gbps)"",
        ""2x USB 3.2 Gen 1 ports with one featuring power-off USB charging"",
        ""1x USB 2.0 port""
    ],
    ""CardReader"": ""N/A"",
    ""Power_Adapter"": ""3-pin 65 W AC adapter"",
    ""Battery"": ""3-Cell, 48Wh"",
    ""OS"": ""Windows 11 Home (64-bit) + Microsoft Office Home & Student 2021"",
    ""Material"": ""Post-Consumer Recycled (PCR) plastics"",
    ""Keyboard_Type"": ""ENG/TH Keyboard"",
    ""Backlit"": ""N/A"",
    ""Touchpad"": ""Yes"",
    ""Finger_Print"": ""Yes""
}
"
